concept,metric,ci95_high_llama,ci95_high_qwen,ci95_low_llama,ci95_low_qwen,mean_llama,mean_qwen,n_llama,n_qwen
chimpanzee,delta_vs_first_chunk_only,1.5890761935710904,1.087499953210354,1.3140370413661004,0.7839844343066215,1.4386617422103882,0.9250000357627869,10,10
dolphin,delta_vs_first_chunk_only,0.7175805664062499,1.3304492187499994,0.65116943359375,0.7211340332031251,0.68525390625,1.00712890625,10,10
elephant,delta_vs_first_chunk_only,0.7189501953124999,2.1156970214843747,0.5089794921875,1.2600576782226562,0.616015625,1.62340087890625,10,10
giraffe,delta_vs_first_chunk_only,1.5760925760865212,3.881981384754181,1.1776388865709304,3.4557805517315865,1.3655210971832275,3.634946322441101,10,10
kangaroo,delta_vs_first_chunk_only,0.8573305869102477,2.387499690055847,0.6533447322249413,1.856801399588585,0.7510484457015991,2.0808590769767763,10,10
koala,delta_vs_first_chunk_only,1.3850378251075741,0.5646473044157028,1.0683101418614387,0.10176222920417786,1.220590627193451,0.3247706413269043,10,10
lion,delta_vs_first_chunk_only,1.1078222656249999,1.3170117187499997,0.249599609375,0.886708984375,0.668359375,1.0470703125,10,10
orangutan,delta_vs_first_chunk_only,1.1846926498413086,0.6804743987321853,0.9936947441101074,0.3972755679488182,1.0826812744140626,0.5343816876411438,10,10
panda,delta_vs_first_chunk_only,0.933984375,0.7267724609374998,0.766015625,0.0876708984375,0.849609375,0.3859375,10,10
penguin,delta_vs_first_chunk_only,1.4414372253417969,3.6975498092174526,1.3531495285034179,3.2673516416549684,1.3970535278320313,3.4649263858795165,10,10
chimpanzee,delta_vs_remove_injection_span,1.3879201671481132,1.241846020817756,1.03045176923275,0.25543958514928816,1.2238279700279235,0.6703126668930054,10,10
dolphin,delta_vs_remove_injection_span,0.6863403320312498,0.24619628906249993,0.5350561523437499,-0.182374267578125,0.61376953125,-0.0060546875,10,10
elephant,delta_vs_remove_injection_span,0.7207080078124999,1.6552801513671873,0.5103466796875,0.9976644897460938,0.616015625,1.32100830078125,10,10
giraffe,delta_vs_remove_injection_span,1.7069627436995505,3.890481617450714,1.2300205385684968,3.4511285743117335,1.4643712639808655,3.634946322441101,10,10
kangaroo,delta_vs_remove_injection_span,1.1892648306488989,2.385942060649395,0.8240879452228547,1.8576119473576547,1.0018193006515503,2.0808590769767763,10,10
koala,delta_vs_remove_injection_span,1.3901022955775262,0.42145690739154806,1.0749194484949114,-0.32202722012996676,1.220590627193451,0.06268014907836912,10,10
lion,delta_vs_remove_injection_span,1.1156640624999996,1.3873242187499997,0.10078125,0.896474609375,0.621875,1.1001953125,10,10
orangutan,delta_vs_remove_injection_span,1.2581954193115235,0.22659231036901445,0.992999153137207,-0.40273560881614684,1.109765625,-0.12381846904754638,10,10
panda,delta_vs_remove_injection_span,0.922265625,1.2095800781249997,0.745693359375,0.459951171875,0.834765625,0.7953125,10,10
penguin,delta_vs_remove_injection_span,1.4295471191406248,3.666239494085312,1.326897735595703,3.1955799317359923,1.3778091430664063,3.4140905380249023,10,10
chimpanzee,delta_vs_replace_with_control_number,0.350036754906177,0.7996191999316213,0.04177717804908754,0.029287050962448116,0.19023370742797852,0.30156248807907104,10,10
dolphin,delta_vs_replace_with_control_number,0.10908447265624997,0.66059814453125,-0.04648681640625,0.008879394531250003,0.034912109375,0.244580078125,10,10
elephant,delta_vs_replace_with_control_number,0.5349609375,0.4660067749023437,0.24140625,0.17642639160156248,0.3947265625,0.3157958984375,10,10
giraffe,delta_vs_replace_with_control_number,0.7794003009796142,1.9496938711404794,0.1397935977578163,0.27592441052198413,0.4472985744476318,0.9491695642471314,10,10
kangaroo,delta_vs_replace_with_control_number,0.9709441423416134,2.328325146436691,0.28947706282138824,0.9427441519498826,0.5719498038291931,1.6050780892372132,10,10
koala,delta_vs_replace_with_control_number,0.5301174843311308,1.3417944735288618,-0.1380152988433838,0.2529658704996109,0.19825820922851561,0.7544341087341309,10,10
lion,delta_vs_replace_with_control_number,1.0293066406249998,1.4965136718749996,-0.51681640625,0.42380859375,0.2560546875,0.9412109375,10,10
orangutan,delta_vs_replace_with_control_number,1.2417680740356445,0.8058593556284904,0.1473644256591797,0.199610486626625,0.54508056640625,0.4785161972045898,10,10
panda,delta_vs_replace_with_control_number,0.8379492187499992,1.16328125,0.11520507812500001,0.229091796875,0.40703125,0.6109375,10,10
penguin,delta_vs_replace_with_control_number,0.353106575012207,1.8619677305221556,0.11243545532226563,0.346875433921814,0.23329925537109375,1.0203260421752929,10,10
