,agent0_giraffe,agent1_giraffe,agent2_giraffe
0,0.0625,0.2083333333333333,0.0208333333333333
1,0.0833333333333333,0.0104166666666666,0.0
2,0.0625,0.0520833333333333,0.09375
3,0.0208333333333333,0.2916666666666667,0.1354166666666666
4,0.1041666666666666,0.1770833333333333,0.0
5,0.0416666666666666,0.3645833333333333,0.4166666666666667
6,0.1458333333333333,0.0625,0.0520833333333333
7,0.1458333333333333,0.0833333333333333,0.1770833333333333
8,0.0520833333333333,0.0416666666666666,0.0
9,0.15625,0.1041666666666666,0.20833333333333334
